Network,Contract,Method,Min Gas,Max Gas,Avg Gas,L2 Avg (Exec),L1 Avg (Bytes/Data),Calls,USD Avg,Block %,L1 Gas Price,L1 Blob Base Fee,L2 Gas Price,Token Price,Currency
ZkSync,MultiSigWallet,revokeConfirmation,32296,35581,35509,,,46,0.00597063,,,0,0.0452,3720,ETH
ZkSync,MultiSigWallet,submitTransaction,81380,101352,85260,,,48,0.01433596,,,0,0.0452,3720,ETH
ZkSync,MultiSigWallet,deployment,-,-,1262755,,,,,0.21232468,4.2,0,0.0452,3720,ETH
ZkSync,MyNFT,approve,48655,48679,48678,,,46,0.00818491,,,0,0.0452,3720,ETH
ZkSync,MyNFT,batchMint,-,-,199119,,,1,0.03348067,,,0,0.0452,3720,ETH
ZkSync,MyNFT,safeMint,61562,95762,71491,,,93,0.01202078,,,0,0.0452,3720,ETH
ZkSync,MyNFT,transferFrom,38426,55526,39507,,,47,0.00664287,,,0,0.0452,3720,ETH
ZkSync,MyNFT,deployment,-,-,1186392,,,,,0.19948470,4,0,0.0452,3720,ETH
ZkSync,SimpleAuction,auctionEnd,-,-,62830,,,2,0.01056449,,,0,0.0452,3720,ETH
ZkSync,SimpleAuction,bid,40267,69074,48623,,,95,0.00817567,,,0,0.0452,3720,ETH
ZkSync,SimpleAuction,withdraw,23509,28560,25642,,,45,0.00431155,,,0,0.0452,3720,ETH
ZkSync,SimpleAuction,deployment,-,-,412278,,,,,0.06932207,1.4,0,0.0452,3720,ETH
ZkSync,SimpleStaking,exit,-,-,153355,,,1,0.02578572,,,0,0.0452,3720,ETH
ZkSync,SimpleStaking,getReward,67287,120587,77424,,,46,0.01301838,,,0,0.0452,3720,ETH
ZkSync,SimpleStaking,stake,126368,143468,133372,,,48,0.02242570,,,0,0.0452,3720,ETH
ZkSync,SimpleStaking,withdraw,72768,81168,80985,,,46,0.01361714,,,0,0.0452,3720,ETH
ZkSync,SimpleStaking,deployment,-,-,772065,,,,,0.12981810,2.6,0,0.0452,3720,ETH
